zip,year,median_income,median_rent,rent_to_income,pct_renter,poverty_rate,pct_bachelors_plus,pct_white,pct_black,pct_asian,pct_hispanic,pct_male,pct_female,pct_under18,pct_elderly
20015,2018,158443.0,1679,0.12716244958754883,0.3145373088212575,0.04262375629529542,0.6172003659652333,0.7346142116498933,0.07160719731625495,0.056480634339737726,0.10844769746874047,0.48526989935956083,0.5147301006404391,0.2549557792009759,0.2103080207380299
20016,2018,150997.0,1925,0.15298317185109636,0.3048156117830378,0.09265952342875419,0.5667998735014231,0.7138544691372222,0.06368053359399707,0.0714429462668545,0.10341258660840065,0.44840870540206423,0.5515912945979358,0.1897766150130811,0.177730500531869
20017,2018,77560.0,1529,0.2365652398143373,0.4220611082340756,0.14279906494562455,0.35383863080684597,0.25178484107579463,0.5983374083129585,0.02728606356968215,0.08933985330073349,0.46572127139364305,0.534278728606357,0.17877750611246943,0.17491442542787286
20018,2018,64530.0,999,0.18577405857740587,0.41005291005291006,0.15327797870714685,0.31088602517173947,0.10881010881010882,0.7835832121546408,0.013889585318156747,0.06709120994835281,0.45579902722759863,0.5442009727724013,0.2017249160106303,0.18758461615604471
20019,2018,36398.0,993,0.3273806253090829,0.6575399991601226,0.27855144192666637,0.0985868263473054,0.010347305389221557,0.9445908183632734,0.0017405189620758484,0.028487025948103793,0.4411497005988024,0.5588502994011976,0.26286626746506986,0.12124550898203593
20020,2018,36075.0,1055,0.35093555093555096,0.6870358984060918,0.3438129640050099,0.12983912632947925,0.02991216974577328,0.9071101530348649,0.008355454205341077,0.0353458872993533,0.44372984625251644,0.5562701537474836,0.27925745131923535,0.11343108086440648
20024,2018,83145.0,1531,0.22096337723254555,0.6110613237741647,0.1663289049012985,0.5913583944885428,0.4412161150217163,0.4158304627826868,0.045080125805002244,0.06050621536618242,0.46121012430732367,0.5387898756926763,0.10333982327392542,0.16459487793919425
20032,2018,37711.0,1086,0.3455755615072525,0.7893810104293647,0.29753192710575405,0.1036571162357326,0.07051013277428372,0.8720009317493594,0.0031912415560214303,0.0345679012345679,0.4539482879105521,0.5460517120894479,0.2895411134404845,0.0901001630561379
20036,2018,88553.0,1922,0.26045419127528147,0.6431739773287334,0.1428818543504584,0.7806140048292515,0.7676785098309762,0.03777164539496378,0.08261469472231804,0.07847533632286996,0.4717143842704381,0.5282856157295619,0.035012073128665055,0.10262159365298379
20037,2018,89475.0,2155,0.2890192791282481,0.6181962025316455,0.22118318732158676,0.47949721821553676,0.6653616319802185,0.06896078027337042,0.11882684250291915,0.12033793529775397,0.4911051583213133,0.5088948416786867,0.024520914898001237,0.12569544611580466
20105,2018,153314.0,2162,0.16922133660331087,0.11117926698359147,0.015488278508258856,0.41426233341126956,0.47598784194528876,0.11264905307458499,0.26050970306289456,0.07383680149637596,0.48627542670095864,0.5137245732990414,0.3455225625438391,0.05906008884732289
20109,2018,70629.0,1625,0.27609055770292656,0.567014993184916,0.10265196662693683,0.1765355993810939,0.3159122725151657,0.16364172213080533,0.08794852273006361,0.3841147432276445,0.495738880565857,0.504261119434143,0.2755114571309281,0.06491146204288135
20110,2018,81042.0,1460,0.21618420078477826,0.3221527777777778,0.08283756792165117,0.1905625760168216,0.4285802634562659,0.136675668432662,0.055907151250283456,0.34045228720443627,0.5114927126924901,0.48850728730751,0.25702446968603765,0.09138510379517203
