zip,year,median_income,median_rent,rent_to_income,pct_renter,poverty_rate,pct_bachelors_plus,pct_white,pct_asian,pct_hispanic,pct_male,pct_under18,pct_elderly
20020,2018,36075.0,1055,0.3509355509355509,0.6870358984060918,0.3438129640050099,0.1298391263294792,0.0299121697457732,0.008355454205341,0.0353458872993533,0.4437298462525164,0.2792574513192353,0.1134310808644064
20024,2018,83145.0,1531,0.2209633772325455,0.6110613237741647,0.1663289049012985,0.5913583944885428,0.4412161150217163,0.0450801258050022,0.0605062153661824,0.4612101243073236,0.1033398232739254,0.1645948779391942
20032,2018,37711.0,1086,0.3455755615072525,0.7893810104293647,0.297531927105754,0.1036571162357326,0.0705101327742837,0.0031912415560214,0.0345679012345679,0.4539482879105521,0.2895411134404845,0.0901001630561379
20036,2018,88553.0,1922,0.2604541912752814,0.6431739773287334,0.1428818543504584,0.7806140048292515,0.7676785098309762,0.082614694722318,0.0784753363228699,0.4717143842704381,0.035012073128665,0.1026215936529837
20037,2018,89475.0,2155,0.2890192791282481,0.6181962025316455,0.2211831873215867,0.4794972182155367,0.6653616319802185,0.1188268425029191,0.1203379352977539,0.4911051583213133,0.0245209148980012,0.1256954461158046
20105,2018,153314.0,2162,0.1692213366033108,0.1111792669835914,0.0154882785082588,0.4142623334112695,0.4759878419452887,0.2605097030628945,0.0738368014963759,0.4862754267009586,0.3455225625438391,0.0590600888473228
20109,2018,70629.0,1625,0.2760905577029265,0.567014993184916,0.1026519666269368,0.1765355993810939,0.3159122725151657,0.0879485227300636,0.3841147432276445,0.495738880565857,0.2755114571309281,0.0649114620428813
20110,2018,81042.0,1460,0.2161842007847782,0.3221527777777778,0.0828375679216511,0.1905625760168216,0.4285802634562659,0.0559071512502834,0.3404522872044362,0.5114927126924901,0.2570244696860376,0.091385103795172
20111,2018,88207.0,1593,0.2167174940764338,0.3059745347698335,0.106032958086522,0.1982289018632846,0.4154258736765651,0.0951755733720702,0.3595552699946923,0.5114953767075453,0.2654971086962595,0.0849791882001285
20120,2018,122165.0,1843,0.1810338476650431,0.2613083836746722,0.0470160571992585,0.4028706299571082,0.486042220784511,0.2791795461625093,0.1298972036517863,0.4963697793113363,0.25066494141327,0.0853041957204131
